name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"41.094064, 29.090658",2017-01-01T00:00:00,2.6,-0.2,2.4,98.21,0,0,,,,36.3,10.3,327,1025,90,6.4,0,,0,,Partially cloudy,partly-cloudy-night,"17063099999,17061099999,17064099999,17059099999,17060099999"
"41.094064, 29.090658",2017-01-01T01:00:00,2.9,0.3,1.1,88.04,0,0,,,,,9.2,318,1024.8,90,6.7,0,,0,,Partially cloudy,partly-cloudy-night,"17063099999,17064099999,17060099999"
"41.094064, 29.090658",2017-01-01T02:00:00,2.2,-0.3,1.2,92.81,0,0,,,,,8.6,288,1024.9,90,7.8,0,,0,,Partially cloudy,partly-cloudy-night,"17063099999,17064099999,17060099999"
"41.094064, 29.090658",2017-01-01T03:00:00,1.8,-0.2,1.6,98.56,6.57,100,"rain,snow",,,36.1,6.4,299,1025.7,90,7.5,0,,0,,"Snow, Rain, Partially cloudy",rain,"17063099999,17061099999,17064099999,17059099999,17060099999"
"41.094064, 29.090658",2017-01-01T04:00:00,2,-0.4,1,93.09,0,0,,,,,8.2,282,1025.5,90,8.7,0,,0,,Partially cloudy,partly-cloudy-night,"17063099999,17064099999,17060099999"
"41.094064, 29.090658",2017-01-01T05:00:00,2,-0.8,0.9,92.51,0,0,,,,,9.3,289,1025,90,9.1,0,,0,,Partially cloudy,partly-cloudy-night,"17063099999,17064099999,17060099999"
"41.094064, 29.090658",2017-01-01T06:00:00,1.3,1.3,1.1,98.38,0,0,,,,20.6,4.4,240,1025.3,90,10.6,0,,0,,Partially cloudy,partly-cloudy-night,"17063099999,17061099999,17064099999,17059099999,17060099999"
"41.094064, 29.090658",2017-01-01T07:00:00,2,0,0.6,90.47,0,0,,,,,6.6,293,1025,90,10,0,,0,,Partially cloudy,partly-cloudy-night,"17063099999,17064099999,17060099999"
"41.094064, 29.090658",2017-01-01T08:00:00,1.9,-0.4,0,87.4,0,0,,,,,7.7,293,1025.2,90,10,4.2,0,0,,Partially cloudy,partly-cloudy-night,"17063099999,17064099999,17060099999"
"41.094064, 29.090658",2017-01-01T09:00:00,0.3,0.3,0,97.85,17.21,100,"rain,snow",,,20.4,4,242,1025.9,90,6.3,62.5,0.2,1,,"Snow, Rain, Partially cloudy",rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"41.094064, 29.090658",2017-01-01T10:00:00,0.6,-1.2,0.1,97,0,0,,,,,5.7,225,1026.2,90,6.1,165.4,0.6,2,,Partially cloudy,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"41.094064, 29.090658",2017-01-01T11:00:00,1.2,1.2,0.5,95.06,0,0,,,,,4,207,1026.5,90,6.3,283.1,1,3,,Partially cloudy,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"41.094064, 29.090658",2017-01-01T12:00:00,2.3,2.3,0.7,89,0,0,,,,13.3,4.5,198,1026.4,89,9,361.6,1.3,4,,Partially cloudy,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"41.094064, 29.090658",2017-01-01T13:00:00,4.3,4.3,0.7,77.56,0,0,,,,,3.3,205,1025.3,87.9,10.6,381.6,1.4,4,,Partially cloudy,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"41.094064, 29.090658",2017-01-01T14:00:00,6,6,1.1,71.12,0,0,,,,,4.7,204,1024.5,79.5,10.6,344.9,1.2,3,,Partially cloudy,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"41.094064, 29.090658",2017-01-01T15:00:00,4.7,2.4,0,71.6,0.19,100,rain,,,20.3,9.4,196,1024.2,59.7,14.8,271.9,1,3,,"Rain, Partially cloudy",rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
